date,count
2010-01-01,215
2010-01-02,257
2010-01-03,313
2010-01-04,324
2010-01-05,337
2010-01-06,397
2010-01-07,373
2010-01-08,317
2010-01-09,290
2010-01-10,339
2010-01-11,326
2010-01-12,366
2010-01-13,326
2010-01-14,377
2010-01-15,412
2010-01-16,341
2010-01-17,359
2010-01-18,404
2010-01-19,404
2010-01-20,414
2010-01-21,382
2010-01-22,375
2010-01-23,306
2010-01-24,351
2010-01-25,402
2010-01-26,421
2010-01-27,370
2010-01-28,339
2010-01-29,375
2010-01-30,323
2010-01-31,312
2010-02-01,353
2010-02-02,416
2010-02-03,404
2010-02-04,369
2010-02-05,358
2010-02-06,357
2010-02-07,297
2010-02-08,408
2010-02-09,408
2010-02-10,448
2010-02-11,449
2010-02-12,392
2010-02-13,279
2010-02-14,301
2010-02-15,358
2010-02-16,395
2010-02-17,383
2010-02-18,974
2010-02-19,406
2010-02-20,335
2010-02-21,359
2010-02-22,452
2010-02-23,490
2010-02-24,422
2010-02-25,452
2010-02-26,407
2010-02-27,321
2010-02-28,465
2010-03-01,376
2010-03-02,442
2010-03-03,526
2010-03-04,735
2010-03-05,426
2010-03-06,318
2010-03-07,519
2010-03-08,403
2010-03-09,487
2010-03-10,416
2010-03-11,421
2010-03-12,434
2010-03-13,370
2010-03-14,356
2010-03-15,402
2010-03-16,476
2010-03-17,400
2010-03-18,473
2010-03-19,419
2010-03-20,352
2010-03-21,403
2010-03-22,397
2010-03-23,486
2010-03-24,403
2010-03-25,451
2010-03-26,461
2010-03-27,355
2010-03-28,430
2010-03-29,435
2010-03-30,474
2010-03-31,441
2010-04-01,425
2010-04-02,412
2010-04-03,332
2010-04-04,276
2010-04-05,395
2010-04-06,482
2010-04-07,500
2010-04-08,428
2010-04-09,424
2010-04-10,320
2010-04-11,377
2010-04-12,458
2010-04-13,459
2010-04-14,406
2010-04-15,477
2010-04-16,421
2010-04-17,339
2010-04-18,374
2010-04-19,482
2010-04-20,477
2010-04-21,497
2010-04-22,520
2010-04-23,453
2010-04-24,342
2010-04-25,359
2010-04-26,438
2010-04-27,464
2010-04-28,444
2010-04-29,448
2010-04-30,446
2010-05-01,318
2010-05-02,337
2010-05-03,402
2010-05-04,389
2010-05-05,479
2010-05-06,466
2010-05-07,416
2010-05-08,363
2010-05-09,312
2010-05-10,370
2010-05-11,486
2010-05-12,508
2010-05-13,473
2010-05-14,460
2010-05-15,359
2010-05-16,331
2010-05-17,441
2010-05-18,464
2010-05-19,456
2010-05-20,471
2010-05-21,450
2010-05-22,323
2010-05-23,363
2010-05-24,476
2010-05-25,474
2010-05-26,491
2010-05-27,445
2010-05-28,445
2010-05-29,383
2010-05-30,376
2010-05-31,402
2010-06-01,508
2010-06-02,535
2010-06-03,574
2010-06-04,453
2010-06-05,344
2010-06-06,359
2010-06-07,426
2010-06-08,555
2010-06-09,505
2010-06-10,604
2010-06-11,459
2010-06-12,390
2010-06-13,351
2010-06-14,500
2010-06-15,495
2010-06-16,430
2010-06-17,480
2010-06-18,433
2010-06-19,327
2010-06-20,355
2010-06-21,434
2010-06-22,466
2010-06-23,465
2010-06-24,483
2010-06-25,445
2010-06-26,348
2010-06-27,353
2010-06-28,450
2010-06-29,527
2010-06-30,579
2010-07-01,533
2010-07-02,508
2010-07-03,356
2010-07-04,326
2010-07-05,436
2010-07-06,506
2010-07-07,476
2010-07-08,458
2010-07-09,454
2010-07-10,363
2010-07-11,287
2010-07-12,483
2010-07-13,486
2010-07-14,531
2010-07-15,525
2010-07-16,498
2010-07-17,331
2010-07-18,373
2010-07-19,504
2010-07-20,528
2010-07-21,565
2010-07-22,670
2010-07-23,515
2010-07-24,381
2010-07-25,440
2010-07-26,525
2010-07-27,536
2010-07-28,580
2010-07-29,574
2010-07-30,576
2010-07-31,401
2010-08-01,353
2010-08-02,539
2010-08-03,576
2010-08-04,560
2010-08-05,546
2010-08-06,468
2010-08-07,409
2010-08-08,395
2010-08-09,510
2010-08-10,579
2010-08-11,582
2010-08-12,526
2010-08-13,533
2010-08-14,432
2010-08-15,412
2010-08-16,612
2010-08-17,617
2010-08-18,590
2010-08-19,654
2010-08-20,588
2010-08-21,484
2010-08-22,422
2010-08-23,578
2010-08-24,603
2010-08-25,565
2010-08-26,614
2010-08-27,577
2010-08-28,462
2010-08-29,502
2010-08-30,561
2010-08-31,640
2010-09-01,679
2010-09-02,581
2010-09-03,564
2010-09-04,472
2010-09-05,439
